age;man;woman;NCD
0;0.0;0.0;cancer
1;0.0;0.0;cancer
2;0.0;0.0;cancer
3;0.0;0.0;cancer
4;0.0;0.0;cancer
5;0.0;0.0;cancer
6;0.0;0.0;cancer
7;0.0;0.0;cancer
8;0.0;0.0;cancer
9;0.0;0.0;cancer
10;0.0;0.0;cancer
11;0.0;0.0;cancer
12;0.0;0.0;cancer
13;0.0;0.0;cancer
14;0.0;0.0;cancer
15;0.0;0.0;cancer
16;0.0;0.0;cancer
17;0.0;0.0;cancer
18;0.0;0.0;cancer
19;0.0;0.0;cancer
20;0.0004622943281758;0.0009456412877335;cancer
21;0.0004622943281758;0.0009456412877335;cancer
22;0.0004622943281758;0.0009456412877335;cancer
23;0.0004622943281758;0.0009456412877335;cancer
24;0.0004622943281758;0.0009456412877335;cancer
25;0.0019051519743902;0.0029833979175881;cancer
26;0.0019051519743902;0.0029833979175881;cancer
27;0.0019051519743902;0.0029833979175881;cancer
28;0.0019051519743902;0.0029833979175881;cancer
29;0.0019051519743902;0.0029833979175881;cancer
30;0.0054146424535303;0.0050810995783923;cancer
31;0.0054146424535303;0.0050810995783923;cancer
32;0.0054146424535303;0.0050810995783923;cancer
33;0.0054146424535303;0.0050810995783923;cancer
34;0.0054146424535303;0.0050810995783923;cancer
35;0.0111436083042642;0.0094763802014586;cancer
36;0.0111436083042642;0.0094763802014586;cancer
37;0.0111436083042642;0.0094763802014586;cancer
38;0.0111436083042642;0.0094763802014586;cancer
39;0.0111436083042642;0.0094763802014586;cancer
40;0.0190331601891014;0.0110177191498886;cancer
41;0.0190331601891014;0.0110177191498886;cancer
42;0.0190331601891014;0.0110177191498886;cancer
43;0.0190331601891014;0.0110177191498886;cancer
44;0.0190331601891014;0.0110177191498886;cancer
45;0.0316358519120893;0.0210547467043887;cancer
46;0.0316358519120893;0.0210547467043887;cancer
47;0.0316358519120893;0.0210547467043887;cancer
48;0.0316358519120893;0.0210547467043887;cancer
49;0.0316358519120893;0.0210547467043887;cancer
50;0.04006097878973;0.034988034964646;cancer
51;0.04006097878973;0.034988034964646;cancer
52;0.04006097878973;0.034988034964646;cancer
53;0.04006097878973;0.034988034964646;cancer
54;0.04006097878973;0.034988034964646;cancer
55;0.0437832595627925;0.0478778640774848;cancer
56;0.0437832595627925;0.0478778640774848;cancer
57;0.0437832595627925;0.0478778640774848;cancer
58;0.0437832595627925;0.0478778640774848;cancer
59;0.0437832595627925;0.0478778640774848;cancer
60;0.0445148564449471;0.0629476180166275;cancer
61;0.0445148564449471;0.0629476180166275;cancer
62;0.0445148564449471;0.0629476180166275;cancer
63;0.0445148564449471;0.0629476180166275;cancer
64;0.0445148564449471;0.0629476180166275;cancer
65;0.0020461960409787;0.0036274981017913;cancer
66;0.0020461960409787;0.0036274981017913;cancer
67;0.0020461960409787;0.0036274981017913;cancer
68;0.0020461960409787;0.0036274981017913;cancer
69;0.0020461960409787;0.0036274981017913;cancer
70;0.0;0.0;cancer
71;0.0;0.0;cancer
72;0.0;0.0;cancer
73;0.0;0.0;cancer
74;0.0;0.0;cancer
75;0.0;0.0;cancer
76;0.0;0.0;cancer
77;0.0;0.0;cancer
78;0.0;0.0;cancer
79;0.0;0.0;cancer
80;0.0;0.0;cancer
81;0.0;0.0;cancer
82;0.0;0.0;cancer
83;0.0;0.0;cancer
84;0.0;0.0;cancer
85;0.0;0.0;cancer
86;0.0;0.0;cancer
87;0.0;0.0;cancer
88;0.0;0.0;cancer
89;0.0;0.0;cancer
90;0.0;0.0;cancer
91;0.0;0.0;cancer
92;0.0;0.0;cancer
93;0.0;0.0;cancer
94;0.0;0.0;cancer
95;0.0;0.0;cancer
96;0.0;0.0;cancer
97;0.0;0.0;cancer
98;0.0;0.0;cancer
99;0.0;0.0;cancer
100;0.0;0.0;cancer
0;0.0;0.0;cvd
1;0.0;0.0;cvd
2;0.0;0.0;cvd
3;0.0;0.0;cvd
4;0.0;0.0;cvd
5;0.0;0.0;cvd
6;0.0;0.0;cvd
7;0.0;0.0;cvd
8;0.0;0.0;cvd
9;0.0;0.0;cvd
10;0.0;0.0;cvd
11;0.0;0.0;cvd
12;0.0;0.0;cvd
13;0.0;0.0;cvd
14;0.0;0.0;cvd
15;0.0;0.0;cvd
16;0.0;0.0;cvd
17;0.0;0.0;cvd
18;0.0;0.0;cvd
19;0.0;0.0;cvd
20;0.0003334315293543;0.0002232333133523;cvd
21;0.0003334315293543;0.0002232333133523;cvd
22;0.0003334315293543;0.0002232333133523;cvd
23;0.0003334315293543;0.0002232333133523;cvd
24;0.0003334315293543;0.0002232333133523;cvd
25;0.002712035631835;0.0013073149526724;cvd
26;0.002712035631835;0.0013073149526724;cvd
27;0.002712035631835;0.0013073149526724;cvd
28;0.002712035631835;0.0013073149526724;cvd
29;0.002712035631835;0.0013073149526724;cvd
30;0.0;0.0;cvd
31;0.0;0.0;cvd
32;0.0;0.0;cvd
33;0.0;0.0;cvd
34;0.0;0.0;cvd
35;0.0115578702713112;0.0065817688143401;cvd
36;0.0115578702713112;0.0065817688143401;cvd
37;0.0115578702713112;0.0065817688143401;cvd
38;0.0115578702713112;0.0065817688143401;cvd
39;0.0115578702713112;0.0065817688143401;cvd
40;0.0124878138563593;0.0101394816869564;cvd
41;0.0124878138563593;0.0101394816869564;cvd
42;0.0124878138563593;0.0101394816869564;cvd
43;0.0124878138563593;0.0101394816869564;cvd
44;0.0124878138563593;0.0101394816869564;cvd
45;0.0237782135163433;0.0208401754238546;cvd
46;0.0237782135163433;0.0208401754238546;cvd
47;0.0237782135163433;0.0208401754238546;cvd
48;0.0237782135163433;0.0208401754238546;cvd
49;0.0237782135163433;0.0208401754238546;cvd
50;0.042512563559523;0.0410049747923066;cvd
51;0.042512563559523;0.0410049747923066;cvd
52;0.042512563559523;0.0410049747923066;cvd
53;0.042512563559523;0.0410049747923066;cvd
54;0.042512563559523;0.0410049747923066;cvd
55;0.051751957046845;0.0551923463447355;cvd
56;0.051751957046845;0.0551923463447355;cvd
57;0.051751957046845;0.0551923463447355;cvd
58;0.051751957046845;0.0551923463447355;cvd
59;0.051751957046845;0.0551923463447355;cvd
60;0.0532131887752265;0.0621219614692592;cvd
61;0.0532131887752265;0.0621219614692592;cvd
62;0.0532131887752265;0.0621219614692592;cvd
63;0.0532131887752265;0.0621219614692592;cvd
64;0.0532131887752265;0.0621219614692592;cvd
65;0.0016529258132019;0.0025887432025225;cvd
66;0.0016529258132019;0.0025887432025225;cvd
67;0.0016529258132019;0.0025887432025225;cvd
68;0.0016529258132019;0.0025887432025225;cvd
69;0.0016529258132019;0.0025887432025225;cvd
70;0.0;0.0;cvd
71;0.0;0.0;cvd
72;0.0;0.0;cvd
73;0.0;0.0;cvd
74;0.0;0.0;cvd
75;0.0;0.0;cvd
76;0.0;0.0;cvd
77;0.0;0.0;cvd
78;0.0;0.0;cvd
79;0.0;0.0;cvd
80;0.0;0.0;cvd
81;0.0;0.0;cvd
82;0.0;0.0;cvd
83;0.0;0.0;cvd
84;0.0;0.0;cvd
85;0.0;0.0;cvd
86;0.0;0.0;cvd
87;0.0;0.0;cvd
88;0.0;0.0;cvd
89;0.0;0.0;cvd
90;0.0;0.0;cvd
91;0.0;0.0;cvd
92;0.0;0.0;cvd
93;0.0;0.0;cvd
94;0.0;0.0;cvd
95;0.0;0.0;cvd
96;0.0;0.0;cvd
97;0.0;0.0;cvd
98;0.0;0.0;cvd
99;0.0;0.0;cvd
100;0.0;0.0;cvd
